CanonicalSmiles,IsomericSmiles_x,inchi,Table,URL,SearchQuery,SMILES
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
C1=CCCCC1,C1CCC=CC1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">310.02 to 364.53</td><td class=""right-nowrap"">3.9973 ± 0.0018</td><td class=""right-nowrap"">1221.9 ± 1.0</td><td class=""right-nowrap"">-49.98 ± 0.12</td><td style=""text-align: left;""><a href=""#ref-15"">Meyer and Hotz, 1973</a></td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C110838&Units=SI&Mask=4,C6H*O0F0,C1=CCCCC1
CCC#CCC,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">253.20 to 297.60</td><td class=""right-nowrap"">5.69948</td><td class=""right-nowrap"">2353.349</td><td class=""right-nowrap"">56.978</td><td style=""text-align: left;""><a href=""#ref-5"">Rondeau and Harrah, 1965, 2</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C928494&Units=SI&Mask=4,C6H*O0F0,CCC#CCC
CCC#CCC,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">253.20 to 297.60</td><td class=""right-nowrap"">5.69948</td><td class=""right-nowrap"">2353.349</td><td class=""right-nowrap"">56.978</td><td style=""text-align: left;""><a href=""#ref-5"">Rondeau and Harrah, 1965, 2</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C928494&Units=SI&Mask=4,C6H*O0F0,CCC#CCC
CCC#CCC,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">253.20 to 297.60</td><td class=""right-nowrap"">5.69948</td><td class=""right-nowrap"">2353.349</td><td class=""right-nowrap"">56.978</td><td style=""text-align: left;""><a href=""#ref-5"">Rondeau and Harrah, 1965, 2</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C928494&Units=SI&Mask=4,C6H*O0F0,CCC#CCC
CCC#CCC,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">253.20 to 297.60</td><td class=""right-nowrap"">5.69948</td><td class=""right-nowrap"">2353.349</td><td class=""right-nowrap"">56.978</td><td style=""text-align: left;""><a href=""#ref-5"">Rondeau and Harrah, 1965, 2</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C928494&Units=SI&Mask=4,C6H*O0F0,CCC#CCC
CCC#CCC,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">253.20 to 297.60</td><td class=""right-nowrap"">5.69948</td><td class=""right-nowrap"">2353.349</td><td class=""right-nowrap"">56.978</td><td style=""text-align: left;""><a href=""#ref-5"">Rondeau and Harrah, 1965, 2</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C928494&Units=SI&Mask=4,C6H*O0F0,CCC#CCC
CCC#CCC,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">253.20 to 297.60</td><td class=""right-nowrap"">5.69948</td><td class=""right-nowrap"">2353.349</td><td class=""right-nowrap"">56.978</td><td style=""text-align: left;""><a href=""#ref-5"">Rondeau and Harrah, 1965, 2</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C928494&Units=SI&Mask=4,C6H*O0F0,CCC#CCC
CCC#CCC,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">253.20 to 297.60</td><td class=""right-nowrap"">5.69948</td><td class=""right-nowrap"">2353.349</td><td class=""right-nowrap"">56.978</td><td style=""text-align: left;""><a href=""#ref-5"">Rondeau and Harrah, 1965, 2</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C928494&Units=SI&Mask=4,C6H*O0F0,CCC#CCC
